tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview,cast,director,keywords
947354,Ettulu,2022-09-11,2022,te,"[18, 80]",0.9348,0.0,0,A violent chess loving loan shark cum gangster plays chess with one of his kidnapped borrowers.,jagadeeshbandari pawanramesh dakshiguttikonda campsasi kalyangunner,campsasi,
1015581,Wanted PanduGod,2022-08-19,2022,te,"[35, 18, 28]",0.9692,7.0,1,"Pandugadu, the most wanted criminal, escapes out of jail and hides in a forest. One crore rupees award is announced by the government to catch him.. A group of individuals begin their woodland paths in an effort to capture Pandugadu. Each of them has a goal to achieve with this prized money.",sunilvarma anasuyabharadwaj brahmanandam vennelakishore sudigalisudheer,sridharseepana,
900222,Yashoda,2022-11-11,2022,te,"[80, 53, 18, 878]",0.8855,6.5,21,"Looking to save her sister, Yashoda, a desperate woman agrees to be a surrogate and move in to a plush facility - but nothing is as it seems. In the world outside Eva, a Hollywood starlet dies under mysterious circumstances, so do a tycoon and a super model. An unknown drug seem to hold the key to the whole mystery.",samantharuthprabhu varalaxmisarathkumar unnimukundan madhurimanarla raoramesh,hareeshnarayan,
790993,Ghani,2022-04-07,2022,te,"[28, 18]",0.8009,5.6,8,The life of a boxer whose passion is sports who has been training since a young age to reach his dreams suddenly things take a tough turn which totally changes his life.,varuntej saieemanjrekar jagapatibabu upendra sunielshetty,kirankorrapati,
794417,Khiladi,2022-02-11,2022,te,"[28, 53]",1.0433,5.6,12,"Mohan Gandhi is a wanted criminal who’s serving time for a crime he might or might not have committed. With large sums of money, lies and deceit involved, who is he really?",raviteja meenakshichaudhary dimplehayathi arjunsarja anasuyabharadwaj,rameshvarma,
1012977,Gangster Gangaraju,2022-06-24,2022,te,"[28, 10749]",0.7099,6.0,1,"Apart from wanting to win the girl he loves, Gangaraju, a good-for-nothing guy, becomes a Gangster to save his village.",lakshchadalavada vediekadutt charandeep vennelakishore satyakrishnan,eeshaansurya,
943286,Shikaaru,2022-07-01,2022,te,"[35, 18]",0.7866,7.0,3,A housewife enters into an extra-marital relationship and almost gets caught red-handed by her cop-husbandand her relatives.,saidhanshika kishore medishettiabhinav surekhavani tejkurapati,harikolagani,
891354,Panchathantram,2022-12-09,2022,te,"[35, 18, 10751]",0.8244,0.0,0,"Veda Vyas Murthy is a retired All India Radio announcer whose daughter doesn't want him to work any longer. When a publishing house announces a story-narration contest, Veda Vyas' interest to tell stories is kindled. He narrates five different stories with the theme of the five senses: Sight, Smell, Sound, Taste, and Touch.",brahmanandam swathireddy samuthirakani rahulvijay shivathmika,harshapulipaka,
865497,Bangarraju,2022-01-14,2022,te,"[18, 35, 14, 10751]",0.9487,6.2,13,Chinna Bangarraju is taking forward his grandfather Bangarraju's legacy of being a massive flirt. His worried grandmother however wants to ensure he's not lonely anymore before she passes on.,nagarjunaakkineni nagachaitanyaakkineni ramyakrishnan krithishetty vennelakishore,kalyankrishna,
899000,Shekar,2022-05-20,2022,te,"[80, 53, 18]",1.0212,0.0,0,An alcoholic ex-cop lives a somewhat peaceful life with his pampered daughter. An unfortunate incident forces him to lead an investigation again.,dr.rajasekhar athmeeyarajan shivanirajashekar muskaankhubchandani abhinavgomatam,jeevitha,remake organ trafficking
