,tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview,genre_labels
19,24664,Bamboozled,2000-10-06,2000,en,"[35, 18]",8.3105,6.2,149,"Frustrated when network brass reject his sitcom idea, producer Pierre Delacroix pitches the worst idea he can think of in an attempt to get fired: a 21st century minstrel show. The network not only airs it, but it becomes a smash hit.","['Comedy', 'Drama']"
20,30809,Geppetto,2000-05-07,2000,en,"[10751, 14, 10770]",8.2073,5.9,15,"Toymaker Geppetto is desperate for a son, so he is overjoyed when a wooden puppet boy, Pinocchio, is magically brought to life. However, the relationship between father and son soon sours, and Pinocchio runs away to join a travelling puppet show. This forces Geppetto to realise how much he loves Pinocchio, and he sets out on an eventful journey to find him.","['Family', 'Fantasy', 'TV Movie']"
21,786,Almost Famous,2000-09-15,2000,en,"[18, 10402]",8.1685,7.501,3020,"In 1973, 15-year-old William Miller's unabashed love of music and aspiration to become a rock journalist lands him an assignment from Rolling Stone magazine to interview and tour with the up-and-coming band, Stillwater.","['Drama', 'Music']"
22,10642,Loser,2000-07-21,2000,en,"[35, 10749]",7.1027,5.4,468,"On a university scholarship, a good natured student from the midwest gets a crash course in city life while dealing with three evil roommates. He befriends a virtually homeless college student whom he falls for, but she's dating a nasty professor.","['Comedy', 'Romance']"
23,23751,Complicity,2000-05-06,2000,en,"[53, 10749]",6.7504,5.667,15,"Local journalist, Cameron Colley writes articles that are idealistic, from the viewpoint of the underdog. A twisted serial killer seems to have some motives. His brutal murders are also committed on behalf of the underdog. The stories begin to merge and Cameron find himself inextricably and inextricably implicated by the brutal killer. The arms dealer that Cameron plans to expose is found literally 'disarmed' before he can put pen to paper. The brewery chief, loathed by Cameron, who sold up at the expense of his workers, finds himself permanently unemployable. The police are convened of Cameron's guilt and so are half his friends and colleagues. Cameron is forced to employ all his investigative skills to find the real killer and his motive.","['Thriller', 'Romance']"
24,22230,Happy Accidents,2000-01-25,2000,en,"[35, 10749, 878]",7.5749,6.799,138,"A comedy that pays tribute to the science fiction genre -- specifically, the sub-genre of time travel. But here the alternate reality is contemporary New York City where past and future experiences of trust, commitment and denial are cleverly put to the test. Just as Ruby is beginning to relish her first-ever healthy relationship, Sam begins muttering about being a time traveler from the year 2470.","['Comedy', 'Romance', 'Science Fiction']"
25,118052,Rat,2000-10-06,2000,en,"[18, 14, 35, 10751]",7.3433,5.9,26,"After a night of drinking Guiness at the local watering hole, an ordinary, working-class, family man in Dublin's life is turned upside-down when he wakes up as a rat.","['Drama', 'Fantasy', 'Comedy', 'Family']"
26,4234,Scream 3,2000-02-04,2000,en,"[27, 9648]",8.1121,6.0,3908,"As bodies begin dropping around the Hollywood set of STAB 3, the third film based on the gruesome Woodsboro killings, Sidney and other survivors are once again terrorized by another Ghostface killer.","['Horror', 'Mystery']"
27,47302,Stardom,2000-10-13,2000,en,"[35, 18]",7.4958,5.226,31,A young girl is plucked from small-town obscurity and thrust into the spotlight of the glamorous world of super-models.,"['Comedy', 'Drama']"
28,10393,The Replacements,2000-08-11,2000,en,[35],6.8437,6.686,1044,"Maverick old-guard coach Jimmy McGinty is hired in the wake of a players' strike to help the Washington Sentinels advance to the playoffs. But that impossible dream hinges on whether his replacements can hunker down and do the job. So, McGinty dusts off his secret dossier of ex-players who never got a chance (or screwed up the one they were given) and knits together a bad-dream team of guys who just may give the Sentinels their title shot.",['Comedy']
