tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview
761694,Usire,2001-04-06,2001,kn,[],0.1264,0.0,0,"The story revolves around Mutthu (Ravichandran) who works for the Zamindar Rudre Gowda (Prakash Raj). He falls in love with Gowda's daughter Chandri (Rachana). Chandri also feels the same way, however, their differing castes become a barrier and they hesitate to start a relationship. Will they get married towards the end is the crux of the story."
1503633,Ellara Mane Dosenu,2001-03-30,2001,kn,"[10751, 18]",0.2022,0.0,0,"Three sisters, Ramani, Mandara and Vasanta, are forced to marry against their will. Their tryst with the evils of a male-dominated society begins shortly after their marriage."
1518194,Mathadana,2001-01-12,2001,kn,[],0.1259,0.0,0,Ram Linge Gowda and Markhande Gowda are at odds with each other as the former refuses the latter to help win the upcoming elections. Film reveals the caste based politics and other dynamics that grip the democratic institution of ballot box in India
1181371,Nanna Preethiya Hudugi,2001-04-06,2001,kn,[],0.2249,0.0,0,"Nanna Preethiya Hudugi (transl. The Girl I Love) is a 2001 Indian Kannada-language romance film directed and written by Nagathihalli Chandrashekar. It stars newcomers Dhyan and Deepali in lead roles and actors such as Lokesh, Bhavya and Suresh Heblikar in other prominent roles.  The story is based on Chandrashekar's own decade-old short story ""Malenada Hudugi, Bayaluseeme Huduga""."
1438809,Vaalee,2001-10-19,2001,kn,"[18, 53]",0.1351,0.0,0,Deva secretly loves his twin brother's wife Priya. He tries everything to separate the two and goes to the extent of killing his twin brother.
1008144,Banallu Neene Buviyallu Neene,2001-10-29,2001,kn,"[10749, 18]",0.1544,0.0,0,"Gopala Krishna is forced into rehabilitating Lalitha, an amnesiac. He pretends to be her husband in order to help her recover but problems arise when her real husband shows up."
1242232,Vande Matharam,2001-01-05,2001,kn,"[28, 18]",0.1438,0.0,0,"Gayathri, a police officer, is entrusted with the responsibility of eliminating terrorists. When her younger brother is lured into terrorism, she has to overcome personal loss and save the country."
1343112,Afternoon Song,2001-12-31,2001,kn,[],0.0766,0.0,0,"In a world which runs on the steam of individualism, how satisfying can the inner journey be? Does a worldview that looks at a purpose beyond the self, hold currency in a society drained of cultural values and driven solely by market considerations? This is the dilemma that haunts the protagonist. Integral to this experience is the loss of intensity and social integrity that marked the cultural movement of the '70s, particularly after the Emergency. The film aims to capture this existential predicament in its various shades and tones. It is this struggle, perhaps vain, that forms the central theme. And, quite fatalistically, see no logical conclusion. Leaving the protagonist suspended in the grey area between ideals and reality..."
515121,Guest,2002-08-08,2002,kn,[18],3.7923,0.0,0,"Atithi is an attempt to examine the 'other face' - flashes of humanity - of a young man totally immersed in the cult of terrorism. Strange as it may sound, we also see flashes of violence (at times) that trickle into the thinking of another man with total belief in non-violence as the ultimate truth of life."
1500650,Majestic,2002-02-08,2002,kn,"[28, 18, 10749]",2.3895,0.0,0,"Daasa is an orphan, raised by a corrupt policeman, Ranadheera. who becomes a gangster when he grows up. His life changes when he falls in love with Kiran, his enemy's daughter, who aids him after her father's truth comes to light and rest of the story forms the plot."
1504089,Ninagagi,2002-05-03,2002,kn,"[10749, 18]",1.0153,0.0,0,Vijay and Radhika are best friends. Their lives take a new turn when their parents decide to take their friendship to the next level.
339861,Hollywood,2002-12-06,2002,kn,[],0.7753,7.2,5,"Hollywood is a 2002 Indian Kannada science fiction film written by Upendra and directed by Dinesh Babu. It stars Upendra in a triple role as Surendra, Upendra and US 47 (a robot) along with the Australian actress Felicity Mason as Manisha and Anant Nag. The film was shot entirely in Gold Coast, Australia with few supporting actors and a monkey named Lakshmi, voiced by Ramesh Bhat. The film was also dubbed into Telugu in 2003, retaining the same title."
282559,Ninne Preethisuve,2002-08-09,2002,kn,[10749],0.7459,0.0,0,"Ninne Preethisuve is a 2002 Kannada film directed by Om Prakash Rao. The film stars Shivaraj Kumar, Ramesh Aravind and Raasi in lead roles. Music was composed by Rajesh Ramanathan."
265663,The Island,2002-12-27,2002,kn,[18],0.8707,6.5,6,"Nagi is the pillar of her small family that includes her husband and her rigid father-in-law. Faced with the possibility of losing her home due to the construction of a dam, Nagi proves her strength."
1503707,Nandhi,2002-12-27,2002,kn,"[28, 18]",0.4177,0.0,0,"A young man is falsely imprisoned for a crime he did not commit which forces him to join hands with a gangster. However, he decides to leave his criminal activities to reunite with his family."
830349,Balagalittu Olage Baa,2002-01-01,2002,kn,[],0.4591,0.0,0,A 2002 Kannada movie.
1501690,Kitty,2002-11-29,2002,kn,"[28, 18]",0.5801,0.0,0,"Vijay, an arrogant college boy, gets into frequent clashes with Kitty and Priya, and tries different ways to defame them."
755499,Chandu,2002-05-10,2002,kn,[],0.572,2.0,1,A 2002 Kannada film
1504110,Romeo Juliet,2002-10-11,2002,kn,"[10749, 18]",0.5762,0.0,0,"Though two college friends become inseparable, the boy is in pursuit of his dream girl. However, with time, he realises that his close friend is his soulmate."
