tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview,cast,director,keywords
951491,Saw X,2023-09-27,2023,en,"[27, 9648]",7.9212,7.176,2314,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",tobinbell shawneesmith synnøvemacodylund stevenbrand renatavaca,kevingreutert,"mexico mexico city, mexico sadism riddle gore sequel con artist cancer scam serial killer torture drugs survival horror duringcreditsstinger jigsaw saw death game"
713704,Evil Dead Rise,2023-04-12,2023,en,"[27, 53]",8.247,6.914,3570,"A reunion between two estranged sisters gets cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",lilysullivan alyssasutherland morgandavies gabrielleechols nellfisher,leecronin,"sibling relationship pregnancy earthquake gore sequel los angeles, california demon evil necronomicon reboot demonic possession motherhood sisterhood sister sister relationship mischievous body horror apartment lovecraftian furious tense intense harsh"
1381216,Lake Jesup: Bonecrusher's Revenge,2024-05-01,2024,en,"[27, 35, 12]",126.707,6.346,26,"In 2003, Lake Jesup became the stage for a real-life horror story, as a monstrous alligator escaped from captivity and began a reign of terror. As the body count rose, a desperate hunt ensued to stop the creature.",derekrusso jeffbenninghofen michaelhoustonking essexo'brien sarahvoigt,michaelhoustonking,alligator alligator hunter lake monster
1058710,Bloodline Killer,2024-04-26,2024,en,"[27, 53]",51.3218,5.735,49,Moira Cole endeavors to rebuild her shattered life after her family's murder at the hands of her deranged and obsessed cousin.,brucedern tyresegibson shawneesmith tarynmanning drewmoerlein,antenovakovic,
1646142,Terrestrial,2024-10-13,2024,en,[27],46.9911,6.5,2,,dane-randallbacon deenabacon randallj.bacon raydenbacon derekbega,alexfarnham,
693134,Dune: Part Two,2024-02-27,2024,en,"[878, 12]",31.1059,8.129,7696,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",timothéechalamet zendaya rebeccaferguson javierbardem joshbrolin,denisvilleneuve,based on novel or book sandstorm chosen one romance tragedy distant future tragic hero creature planet desert destiny giant worm space opera sand dune allegorical messiah fall from grace vengeance religious allegory giant creature power ambiguous antagonistic exuberant melodramatic areia dune
533535,Deadpool & Wolverine,2024-07-24,2024,en,"[28, 35, 878]",26.7082,7.556,8398,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",ryanreynolds hughjackman emmacorrin matthewmacfadyen dafnekeen,shawnlevy,hero superhero anti hero mutant breaking the fourth wall aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) mutants superhero teamup
519182,Despicable Me 4,2024-06-20,2024,en,"[10751, 35, 16, 878, 28]",23.4444,6.986,3123,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",stevecarell kristenwiig willferrell sofíavergara mirandacosgrove,chrisrenaud,superhero villain sequel super villain aftercreditsstinger duringcreditsstinger kids calm
1022789,Inside Out 2,2024-06-11,2024,en,"[16, 12, 35, 10751]",23.1721,7.547,6542,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",amypoehler mayahawke kensingtontallman lizalapira tonyhale,kelseymann,sadness disgust sequel computer animation teenage girl fear anger envy aftercreditsstinger duringcreditsstinger emotions embarrasment joy anxiety witty assertive cheerful
1241982,Moana 2,2024-11-21,2024,en,"[16, 12, 10751, 35, 14]",22.1229,6.997,2992,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",auliʻicravalho dwaynejohnson hualālaichung rosematafeo davidfane,davidg.derrickjr.,sea ocean villain musical sequel coming of age explorer duringcreditsstinger polynesia seafarer hopeful female explorer
